,start,end,from_cty,to_cty,from_country,from_country_code,to_country,to_country_code,value,source,target,color,label,from_country_latlng,to_country_latlng,from_country_cca3,to_country_cca3
0,00:00,01:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,184.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
1,00:00,01:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
2,01:00,02:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,81.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
3,01:00,02:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
4,02:00,03:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,3.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
5,02:00,03:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
6,03:00,04:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,0.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
7,03:00,04:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,40.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
8,04:00,05:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,0.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
9,04:00,05:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,39.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
10,05:00,06:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,5.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
11,05:00,06:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
12,06:00,07:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,51.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
13,06:00,07:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
14,07:00,08:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,90.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
15,07:00,08:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
16,08:00,09:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,41.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
17,08:00,09:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
18,09:00,10:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,7.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
19,09:00,10:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
20,10:00,11:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,0.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
21,10:00,11:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
22,11:00,12:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,26.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
23,11:00,12:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
24,12:00,13:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,57.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
25,12:00,13:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
26,13:00,14:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,53.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
27,13:00,14:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
28,14:00,15:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,42.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
29,14:00,15:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
30,15:00,16:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,46.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
31,15:00,16:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
32,16:00,17:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,38.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
33,16:00,17:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
34,17:00,18:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,0.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
35,17:00,18:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,4.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
36,18:00,19:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,0.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
37,18:00,19:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,4.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
38,19:00,20:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,29.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
39,19:00,20:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
40,20:00,21:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,63.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
41,20:00,21:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
42,21:00,22:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,101.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
43,21:00,22:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
44,22:00,23:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,147.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
45,22:00,23:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
46,23:00,00:00,Greece (GR),Albania (AL),Greece ,GR,Albania ,AL,159.0,0,1,"rgba(127, 127, 127, 0.8)",,"[39, 22]","[41, 20]",GRC,ALB
47,23:00,00:00,Albania (AL),Greece (GR),Albania ,AL,Greece ,GR,0.0,1,0,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[39, 22]",ALB,GRC
48,00:00,01:00,Kosovo (XK),Albania (AL),Kosovo ,XK,Albania ,AL,32.0,2,1,"rgba(127, 127, 127, 0.8)",,"[42.666667, 21.166667]","[41, 20]",UNK,ALB
49,00:00,01:00,Albania (AL),Kosovo (XK),Albania ,AL,Kosovo ,XK,0.0,1,2,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[42.666667, 21.166667]",ALB,UNK
50,01:00,02:00,Kosovo (XK),Albania (AL),Kosovo ,XK,Albania ,AL,41.0,2,1,"rgba(127, 127, 127, 0.8)",,"[42.666667, 21.166667]","[41, 20]",UNK,ALB
51,01:00,02:00,Albania (AL),Kosovo (XK),Albania ,AL,Kosovo ,XK,0.0,1,2,"rgba(127, 127, 127, 0.8)",,"[41, 20]","[42.666667, 21.166667]",ALB,UNK
